paper_id,attempt,logical_page_number,page_class,text_layer_present,ocr_route_required,text_chars,text_sha256,rendered_for_classification,nonwhite_ratio
CUMCM-2013-D-001,PRIMARY,53,TEXT_PAGE,1,0,1883,5CDFED8A5D208E62C5809F4723BB2E4333B9D45E52DC2190E551E9C69FEAF817,0,
CUMCM-2013-D-001,PRIMARY,54,TEXT_PAGE,1,0,1954,54411CBD4058D2F0E663C674E24B6F2F916E4DC8D5F6524D3AFAD23211B649E9,0,
CUMCM-2013-D-001,PRIMARY,55,TEXT_PAGE,1,0,1823,065C39C0C4D21AB9F04000CE5D15BBF9D7A7A469E6E4CED90196C09EDFEE4495,0,
CUMCM-2013-D-001,PRIMARY,56,TEXT_PAGE,1,0,1449,2E3833DC91C19BC6A25D4E622C2C6365EBDA2654C19D4137179B28910B47495A,0,
CUMCM-2013-D-001,PRIMARY,57,TEXT_PAGE,1,0,1339,33F2BD89742572247FFF6B10009C7BC989FAAF3FBE923971E7CA84C830358A70,0,
CUMCM-2013-D-001,PRIMARY,58,TEXT_PAGE,1,0,1299,30F68673A3A9E1C8F407C0DE2D96FA60570BB11D885EECC62090BF6615D2BFD2,0,
CUMCM-2013-D-001,PRIMARY,59,TEXT_PAGE,1,0,1365,153988F121A27B614AEC83627440BE9B8A5A28D174A84B40ACD03CBC8A7A5595,0,
CUMCM-2013-D-001,PRIMARY,60,TEXT_PAGE,1,0,341,E9BDE9FD0799EDAD7BA2427863D4B9519F63384CB98CF091BB0DA540C051B9E1,0,
CUMCM-2013-D-001,PRIMARY,61,TEXT_PAGE,1,0,1198,70A4CC47BD1CE80264428CAACF8BD73AA8867D354D9BBE15F1F55D9154EC5358,0,
CUMCM-2013-D-001,PRIMARY,62,TEXT_PAGE,1,0,1049,241D9953857518B841074A878DCA72B2E6D178AFD81AEBE5A9D2368D0B1D3D20,0,
CUMCM-2013-D-001,PRIMARY,63,TEXT_PAGE,1,0,1428,44BBBF0DD60B8DB406F1DE64C5EBA1E93E93E913F470749D15CD83E6BA80BFA2,0,
CUMCM-2013-D-001,PRIMARY,64,TEXT_PAGE,1,0,1374,4DD2D97B887D04C399FF4D515CB9576884B1684F24DB8EAC195BA4DB4DBAE518,0,
CUMCM-2013-D-001,PRIMARY,65,TEXT_PAGE,1,0,1341,3D6769401568EFEE515E8579A186C92D58AC04916DC959D3C770865326BFF5AD,0,
CUMCM-2013-D-001,PRIMARY,66,TEXT_PAGE,1,0,721,16D3383E5B1EEDC0054E4796C47B8086DCA56DD9E870BAF5AC6D60245A67525E,0,
CUMCM-2013-D-001,PRIMARY,67,TEXT_PAGE,1,0,962,601FDC139F22F9C21E6E8AF55EF95ECB159C863B2334C561BDCC889828D0A535,0,
CUMCM-2013-D-001,PRIMARY,68,TEXT_PAGE,1,0,370,64BC9F7A32260A43EA759FE459A4C6FDEDC0AEC81EF7C1E40B575FFBC66F190F,0,
CUMCM-2013-D-001,PRIMARY,69,TEXT_PAGE,1,0,377,91A4E558D0468ABD7B6FC92B1CA35C97832809B00BAA78494DD4961F5C41FA76,0,
CUMCM-2013-D-001,PRIMARY,70,TEXT_PAGE,1,0,380,6638151AD35E2CC7510E85647A58A79DDD3236742733FECACCDD8AB7D5A6D2A7,0,
CUMCM-2013-D-001,PRIMARY,71,TEXT_PAGE,1,0,413,63135CF3B710DF89A802590D3FCC1A7DB2229064F0B6FFAC6889139F5A33D53A,0,
